,Theft,Assault & Kidnapping,Fraud & Drugs & Weapons,Environment & Public Order,TotalCrime,PopulationTotalMale,PopulationTotalFemale,PopulationTotal,PrincipalStatusAtWork,PrincipalStatusLookingForFirstJob,PrincipalStatusUnemployed,PrincipalStatusStudent,PrincipalStatusLookingAfterHome/Family,PrincipalStatusRetired,PrincipalStatusUnableToWork,PrincipalStatusOther,SocialClassProfessionalWorkers,SocialClassManagerialAndTechnical,SocialClassNonManual,SocialClassSkilledManual,SocialClassSemiSkilled,SocialClassUnskilled,SocialClassOther,AgeEducationCeasedUnder15,AgeEducationCeasedAge15,AgeEducationCeasedAge16,AgeEducationCeasedAge17,AgeEducationCeasedAge18,AgeEducationCeasedAge19,AgeEducationCeasedAge20,AgeEducationCeasedAge21+,AgeEducationCeasedNotStated,EducationNotCeasedStillAtSchool,EducationNotCeasedOther,HighestLevelEducationNoFormalEducation,HighestLevelEducationPrimary,HighestLevelEducationLowerSecondary,HighestLevelEducationUpperSecondary,HighestLevelEducationTechnicalQualification,HighestLevelEducationAdvCert/Apprenticeship,HighestLevelEducationHigherCertificate,HighestLevelEducationOrdinaryBachelorDegree,HighestLevelEducationHonoursBachelorDegree,HighestLevelEducationPostgraduateDegree,HighestLevelEducationDoctorate,HighestLevelEducationNotStated,GeneralHealthVeryGood,GeneralHealthGood,GeneralHealthFair,GeneralHealthBad,GeneralHealthVeryBad,GeneralHealthNotStated,Total_Under18Male,Total_Under18Female,Total_Under18,Green,Area,PopulationDensity,GreensPerKMSQ,GreensPerPerson
Theft,1.0,0.9156862026627557,0.7962499481295582,0.715887343823088,0.8199470423134847,0.5563663599370352,-0.5563663599370354,-0.21427773912531017,0.5067866492282643,0.4836997602394489,0.25823980700373705,0.6084185920392401,-0.6669335108013498,-0.25213354488614276,0.16618897762565354,0.38543005555209675,-0.05090019018431087,-0.406065491660497,-0.6644231550985251,-0.31314946836765867,0.04011898090997598,0.26955290494504475,0.7641644236172889,0.1271112281186754,-0.025928167199274592,-0.33828446904074394,-0.6180850320460634,-0.7475603406208721,-0.5802179040771878,-0.37063757239051637,0.28771865729840784,0.38401552751959944,0.6084185920392401,0.6560702153562781,0.12553030643900176,0.062136436390246436,-0.2857298958387982,-0.75379347444762,-0.4757774801143608,-0.5141006171328917,-0.3100891642485689,-0.009129677590314304,0.13025333151127685,0.300264601520774,0.37059601745273996,0.9277099787300701,-0.5710268371146385,0.2854927667922754,0.06669895017086583,0.1428556173851764,0.2123957208148798,0.945154016262001,-0.7131969033923704,-0.7109651472222,-0.7134810944111815,-0.2580797928441309,-0.41077689397529793,0.5877332138629168,0.20035826479165286,-0.27555832984763123
Assault & Kidnapping,0.9156862026627557,1.0,0.8984681728930154,0.7419029403098784,0.8492944110549373,0.5662782211765988,-0.566278221176599,-0.21040437940832693,0.39843915225432547,0.47626876209750446,0.3210298710215348,0.4995859377768788,-0.5592397400152433,-0.39331489098519096,0.1949726854810295,0.29253974514028097,-0.22951798689331732,-0.47268848550389386,-0.4923791948700026,-0.1445786680421501,0.16188828012812387,0.28517768377418967,0.7591830384576354,0.12614728986311208,0.02366828645289857,-0.22319915217884867,-0.4656058265801246,-0.6599525904878653,-0.42299743369954,-0.38733327125435835,0.08896373331026458,0.3839697668062541,0.4995859377768788,0.6632465819849772,0.16682116101944944,0.07142324345168855,-0.16705200085590466,-0.6457645514233743,-0.29084260917747423,-0.30870166972994206,-0.28929259772601273,-0.1308433514033647,-0.06822237704237848,0.09781137044236299,0.19095837122327453,0.8939960241982707,-0.538191288151666,0.31147904472996424,0.020056032081254806,0.10370508862357512,0.12183145297533483,0.8969403331401226,-0.5196003422270034,-0.50913394238909,-0.5155325692210472,-0.3228182475268721,-0.25763035579437016,0.40227879432316044,-0.007737634835321162,-0.32257776168304414
Fraud & Drugs & Weapons,0.7962499481295582,0.8984681728930154,1.0,0.7661220292670854,0.8549442045737189,0.5378702095270516,-0.5378702095270513,-0.14379857343361505,0.3101826762903099,0.5334494118182623,0.4543121809598814,0.3972484861065882,-0.5031226938904624,-0.39067754583265074,0.3314595629506507,0.24226995833280637,-0.36133598666692884,-0.5997585741286162,-0.34275187352326075,0.02589235231812902,0.355654528716305,0.4338344115523688,0.7409127073528347,0.29214608120509844,0.21169297032315795,-0.04179748392739549,-0.3771141024545916,-0.5898592756091142,-0.390749792680962,-0.5015948224403104,-0.04264213331188579,0.2849793640229792,0.3972484861065882,0.6937145685002756,0.35488677794594903,0.24291194542111968,0.017689181998757547,-0.5867859441086039,-0.1701962492037919,-0.2887807891021843,-0.42459628119996545,-0.2765150153402706,-0.20979501543812074,-0.037963686551425575,0.04094051617961774,0.8096012231213988,-0.6073998878425945,0.4794430012405246,0.1524621106718219,0.17588482775978168,0.09411668604819783,0.7755695475632989,-0.4818383584685894,-0.4682942463308694,-0.4762101640258691,-0.38370536447850306,-0.24902599114359894,0.3553450178949425,-0.14614006515971195,-0.4318552237243965
Environment & Public Order,0.715887343823088,0.7419029403098784,0.7661220292670854,1.0,0.9822073464993809,0.6329804507247644,-0.6329804507247643,-0.204240786746403,0.45165772171937124,0.4760273827616132,0.33402528940073883,0.4741279300995987,-0.5877803795924355,-0.3411782778442645,0.21096705606853997,0.15929573317839602,-0.13160968434950207,-0.39479702579850134,-0.4424259389472003,-0.20732168870187162,0.1458103416285024,0.3254656326740851,0.6261266588288639,0.11095784866562329,-0.014814784922766014,-0.2429101024572395,-0.4791962288375944,-0.5651541411922201,-0.24350296175657576,-0.24259849331556738,0.23328923293124293,0.12504757813797188,0.4741279300995987,0.6054211670432476,0.18973592351260843,0.05123846404667558,-0.21755158345417056,-0.5464867638490628,-0.28454061786568796,-0.3584535661668213,-0.21928897416152135,0.001235808040326832,0.06252347120868484,0.20164147070658955,0.2278595522412711,0.667352087800081,-0.50223511775373,0.3969298586545364,0.08081222193904143,0.1464689351422928,0.09325099204153293,0.6767276757507404,-0.5845273117223466,-0.5837827954239374,-0.585284693564991,-0.32199183566871004,-0.30754871692527297,0.48864200271057223,-0.09889920340793472,-0.3471550222888527
TotalCrime,0.8199470423134847,0.8492944110549373,0.8549442045737189,0.9822073464993809,1.0,0.6480103881599751,-0.648010388159975,-0.2125364047560917,0.46613016801546364,0.5127746997550853,0.35796620465937556,0.5131130200299093,-0.6217575876538103,-0.3632729277853786,0.23025746353693602,0.21570180380222523,-0.16462564844640104,-0.4498084264158845,-0.489016710666179,-0.20148842965281813,0.16681961242761986,0.34708173146932175,0.7056067156078605,0.13995414008805154,0.010312096691313954,-0.24577757553138285,-0.5125121010766466,-0.6324936119947246,-0.3284633752639047,-0.3129502965552207,0.21098164913115283,0.20331493965761302,0.5131130200299093,0.6638919104968368,0.20951519564256077,0.07748843448620486,-0.20927923857337555,-0.617415259964356,-0.31200323091676246,-0.3857556435238528,-0.2711493595689864,-0.04167951381389647,0.03264047268306695,0.1899253213493739,0.23468557053686784,0.7748502848186705,-0.5557585628510984,0.4098487661930791,0.0857433764505688,0.15408721221747307,0.114986637945605,0.7805605843836586,-0.6181971040472856,-0.6149537224929814,-0.6178105177207323,-0.34177616005176764,-0.32709255743209004,0.5077697614996447,-0.0684516639978868,-0.3675432052230528
PopulationTotalMale,0.5563663599370352,0.5662782211765988,0.5378702095270516,0.6329804507247644,0.6480103881599751,1.0,-0.9999999999999999,-0.11346948854041346,0.36565092181772635,0.6783641233918677,0.5039587365795017,0.3159889678912723,-0.597503919421652,-0.6562782498694382,0.0984223716556213,0.4973569031178656,-0.33895547636781365,-0.4073198988783869,-0.3435914509558375,-0.04817498489311373,0.26085012027718346,0.39379153394076466,0.599398973178147,-0.04684651232984976,-0.08434592835552536,-0.31944962859244835,-0.37816067987346125,-0.41863914817540393,0.09566568602622423,-0.0321012923153324,-0.005257902863127375,0.3132582571579808,0.3159889678912723,0.7591661972639272,0.11808917083238916,-0.07267288804977172,-0.19403980679303237,-0.3349824008422099,0.05741960740790515,-0.04137955123224758,0.04081983566135014,-0.04422186303504106,-0.14298603949312533,-0.061839920176673585,-0.10538784111808176,0.5918536562963775,-0.4423698982359686,0.41440263976913533,-0.046830891841388424,0.03441434943431977,-0.009212014482093375,0.6564741970773972,-0.3375981256223693,-0.34861696037389794,-0.3435716679890731,-0.35529837675086196,-0.031041937649885804,0.5572402984211371,-0.29513575391206287,-0.3882850562988343
PopulationTotalFemale,-0.5563663599370354,-0.566278221176599,-0.5378702095270513,-0.6329804507247643,-0.648010388159975,-0.9999999999999999,1.0,0.11346948854041405,-0.3656509218177262,-0.6783641233918677,-0.503958736579501,-0.31598896789127273,0.5975039194216517,0.6562782498694384,-0.09842237165562037,-0.4973569031178654,0.33895547636781337,0.407319898878386,0.34359145095583726,0.04817498489311407,-0.26085012027718263,-0.3937915339407639,-0.5993989731781464,0.04684651232985064,0.08434592835552614,0.3194496285924489,0.3781606798734612,0.41863914817540365,-0.09566568602622491,0.03210129231533162,0.005257902863127369,-0.3132582571579812,-0.31598896789127273,-0.7591661972639271,-0.11808917083238822,0.0726728880497725,0.19403980679303287,0.3349824008422096,-0.05741960740790488,0.04137955123224703,-0.040819835661351174,0.0442218630350403,0.1429860394931253,0.06183992017667364,0.10538784111808167,-0.5918536562963775,0.44236989823596806,-0.41440263976913466,0.04683089184138916,-0.03441434943431905,0.009212014482094185,-0.6564741970773971,0.33759812562236885,0.34861696037389756,0.3435716679890728,0.3552983767508615,0.031041937649885804,-0.5572402984211366,0.29513575391206237,0.38828505629883336
PopulationTotal,-0.21427773912531017,-0.21040437940832693,-0.14379857343361505,-0.204240786746403,-0.2125364047560917,-0.11346948854041346,0.11346948854041405,1.0,-0.03985467582759027,-0.11629711808970146,-0.05380337535489202,-0.2486645573771418,0.055092887078585076,-0.1548323840018508,-0.13428843290747997,-0.14852049106499746,-0.026246025100697765,0.04879994751050921,0.32363390685989235,0.16901938809847325,0.017113178255403188,-0.1295045669298364,-0.2015244548158439,-0.13345454738443888,-0.042842862240972834,0.04607942543945666,0.17389972764259573,0.18218840231040756,0.1787978437652283,0.17001847317716964,-0.1348828217218628,-0.1592618441557526,-0.2486645573771418,-0.017034978873718475,-0.13444530352007394,-0.1265854892556194,0.06952080109811436,0.16340532713933983,0.19939391145919852,0.2145984420574495,0.09720939692154615,-0.031216338173694208,-0.09788907029782486,-0.14524435794910334,-0.15181752723205513,-0.22080410329542435,0.23215939239212535,-0.10890041086941869,-0.20535959710178178,-0.2117082034318175,-0.20001035346813428,-0.2065535120141634,0.33279836307848515,0.31072438208064906,0.3227606230368334,0.37587256481096354,0.37959137545118915,-0.16448647496729896,-0.0021615845475733615,0.008244767092548306
PrincipalStatusAtWork,0.5067866492282643,0.39843915225432547,0.3101826762903099,0.45165772171937124,0.46613016801546364,0.36565092181772635,-0.3656509218177262,-0.03985467582759027,1.0,0.011220583139708702,-0.283918997545634,0.4528893843703114,-0.7179685640350794,-0.35941867815176093,-0.4001983267970764,0.1273588216292938,0.46197566397418716,0.16667415638670022,-0.504841405840698,-0.5836164713117481,-0.4136634815306907,-0.2217841072399536,0.18699674187639356,-0.4451246821143959,-0.5848682581693055,-0.7346376785966157,-0.7332458729361507,-0.5979756241600108,-0.19690357407969525,0.3626695680954326,0.7303382496377451,0.25133828815779574,0.4528893843703114,0.43603913344908046,-0.4216018178496177,-0.49463153767412427,-0.731953039442784,-0.6045222606096445,-0.49843502060625355,-0.36094905576718833,0.24747065090295955,0.5630981066908508,0.676461882096338,0.7154753900756704,0.5927855262235009,0.4741310168883551,0.07755090071653793,-0.2323159018587841,-0.47857713513622524,-0.3860888498372747,-0.2160539335651833,0.5259852078718645,-0.6059413669042426,-0.5979452832536555,-0.6032331722413454,-0.06361852129325121,-0.06253773576399548,0.21819729747319777,-0.0301103683939274,-0.11391683120754394
PrincipalStatusLookingForFirstJob,0.4836997602394489,0.47626876209750446,0.5334494118182623,0.4760273827616132,0.5127746997550853,0.6783641233918677,-0.6783641233918677,-0.11629711808970146,0.011220583139708702,1.0,0.8568953617872015,0.23003813888239574,-0.5569887608422409,-0.5207376641575275,0.5501449827159453,0.16846963694121098,-0.5887700084121205,-0.7923311591375948,-0.33642711534708214,0.2124628638115083,0.6309237091840713,0.805249626152483,0.8113954921915534,0.41518801049921744,0.3267561383953249,0.03487482183312511,-0.27176631230759585,-0.48941859730508697,-0.1789430801666519,-0.4193283616053482,-0.2700149292926051,0.12355868348901193,0.23003813888239574,0.8150210475917562,0.6224221455552869,0.3909108984510341,0.1502628439174251,-0.4265879751624111,0.10574216151194654,-0.19086574687387992,-0.4172255003533533,-0.47925036901056184,-0.42824219623858234,-0.3102602976420052,-0.30638197304951087,0.5803482897757994,-0.7563271539290117,0.7491291962824544,0.4258977220845055,0.5155057090179143,0.3600885615783388,0.5527558565321626,-0.3192039135230953,-0.2991031895856709,-0.3100943590375494,-0.43862061368417704,-0.21487654725206126,0.6915946324241801,-0.26590092117764913,-0.4975373323133837
PrincipalStatusUnemployed,0.25823980700373705,0.3210298710215348,0.4543121809598814,0.33402528940073883,0.35796620465937556,0.5039587365795017,-0.503958736579501,-0.05380337535489202,-0.283918997545634,0.8568953617872015,1.0,-0.10770829676410575,-0.3295996042582616,-0.38654982632348295,0.786630277381486,0.17941572087696603,-0.8027778638542902,-0.9103493248079249,-0.06432396349450208,0.5350632109720398,0.8915471387088678,0.9444593286976242,0.6971122819516717,0.698511178035898,0.674539038444184,0.4201914723644532,0.07938004866870513,-0.31008435603758505,-0.1631931159819481,-0.6025327167181939,-0.5420166751819137,-0.014277031643356421,-0.10770829676410575,0.622742023905555,0.8201720603661726,0.6942455525707397,0.5279374859208594,-0.2364498553266061,0.3724472756312497,-0.034241414257348224,-0.6369201006084547,-0.7786382816323053,-0.6679748474359568,-0.5759429078746346,-0.5657587600513728,0.36927745807231205,-0.8172191042185141,0.868732250606824,0.6727311498375087,0.7217600581314119,0.5320126326720119,0.32449696039807263,-0.09649079515083148,-0.08905693531826277,-0.09308058893501528,-0.42973632041870125,-0.1586388435493742,0.5164731127230038,-0.2530498286749566,-0.47916924614189044
PrincipalStatusStudent,0.6084185920392401,0.4995859377768788,0.3972484861065882,0.4741279300995987,0.5131130200299093,0.3159889678912723,-0.31598896789127273,-0.2486645573771418,0.4528893843703114,0.23003813888239574,-0.10770829676410575,1.0,-0.5530952638110324,-0.030624347461462392,-0.1918819088575159,0.20538929164868588,0.3998969020427775,-0.023828706646010184,-0.7856735102516899,-0.7236063239836973,-0.3878668367030097,-0.11100723100332308,0.5564156397379804,-0.247198239750271,-0.4306236113282016,-0.6433629303598672,-0.7730346316485683,-0.6220005417905832,-0.4829625453819505,-0.0329381466719277,0.610403831862232,0.08947439645199072,1.0,0.42881246134378914,-0.21100865963646334,-0.2995132557143829,-0.6313042369728208,-0.6481929330338709,-0.7871801539460165,-0.7060101979623065,-0.08146728517175449,0.3884947089558699,0.49485084753720066,0.6045537938752411,0.667579828805619,0.5816006854463049,-0.19981763934587138,-0.058633265675133946,-0.13187981953953354,-0.05851896684073179,0.020387765368448323,0.6333916873344901,-0.7312342321175545,-0.7284907704129999,-0.7313054672775015,-0.18171777607016082,-0.5083061765252905,0.5811500722033647,0.17188660112771376,-0.1670583450616612
PrincipalStatusLookingAfterHome/Family,-0.6669335108013498,-0.5592397400152433,-0.5031226938904624,-0.5877803795924355,-0.6217575876538103,-0.597503919421652,0.5975039194216517,0.055092887078585076,-0.7179685640350794,-0.5569887608422409,-0.3295996042582616,-0.5530952638110324,1.0,0.4996216132574874,-0.12479963747356294,-0.27642059515054396,-0.01791350455251234,0.44223286471222045,0.6388124869500813,0.3343158536581717,-0.11140269639808519,-0.3516836159213284,-0.7180080950265038,-0.001323988537880959,0.1800913367728425,0.5013696634975913,0.7210160158721824,0.8351024861699715,0.4192430046196114,0.03635837210852714,-0.4331027079947886,-0.08971142372326939,-0.5530952638110324,-0.8131919461199107,-0.09616504201538262,0.05341606447750041,0.437754380088996,0.827824451734071,0.38650999598911234,0.4882584278214085,0.24304918703440964,-0.06531771339762157,-0.2859883087682273,-0.3928949858677137,-0.320808397905058,-0.6933262658850603,0.47910854194070646,-0.2960092732200309,-0.03596736325553419,-0.18100246580550458,-0.2696018608799249,-0.7378226731019788,0.7050152990333962,0.6980674595538159,0.7030033770102551,0.3154979442113324,0.23009993989157382,-0.6529640304556998,0.09144959920549418,0.42324888894130464
PrincipalStatusRetired,-0.25213354488614276,-0.39331489098519096,-0.39067754583265074,-0.3411782778442645,-0.3632729277853786,-0.6562782498694382,0.6562782498694384,-0.1548323840018508,-0.35941867815176093,-0.5207376641575275,-0.38654982632348295,-0.030624347461462392,0.4996216132574874,1.0,0.05238418868066197,-0.0053444855011193695,0.3256668379114611,0.36541091503722517,0.04937969052132301,-0.15318852209810027,-0.2897384353835236,-0.26634715892256133,-0.3699117365588593,0.19971010274810858,0.17796371074464237,0.29242786016146977,0.25846718241376543,0.3782380040493986,-0.2845275935896414,-0.15022130413826765,0.12915639430923137,-0.046777286412114295,-0.030624347461462392,-0.6402316323819653,-0.027806559771900014,0.23544502904329043,0.19029054540367565,0.2970811460454688,-0.258902829150526,-0.23014120091900894,-0.12904391228486498,0.10399684267776109,0.21777782996685216,0.18701149874203077,0.22143363518465176,-0.30961692525603024,0.06037109767558083,-0.14030108801659744,0.36344757743444067,0.24282368485435682,0.21879129813625228,-0.36700753582062695,-0.1283281677510708,-0.14394081197956246,-0.13612301249657716,0.2609088704948415,-0.40238107710613047,-0.1318013048658972,0.5516544622826949,0.3388325539571787
PrincipalStatusUnableToWork,0.16618897762565354,0.1949726854810295,0.3314595629506507,0.21096705606853997,0.23025746353693602,0.0984223716556213,-0.09842237165562037,-0.13428843290747997,-0.4001983267970764,0.5501449827159453,0.786630277381486,-0.1918819088575159,-0.12479963747356294,0.05238418868066197,1.0,-0.023696832640127636,-0.6844837080793575,-0.7899315422070279,0.010484446237007223,0.5652419336385243,0.8404453894093838,0.8537135994511003,0.49417859170803297,0.939851308360736,0.8881794347561973,0.6884407373335808,0.2630961000471135,-0.18885841293181097,-0.3646306987550272,-0.7092090008364056,-0.49250421980314313,-0.19158921370684684,-0.1918819088575159,0.22663271610296556,0.924942731081524,0.9223314566619413,0.6860618496188481,-0.16500476607975087,0.27578879181039667,-0.08063656298012821,-0.7404526471463236,-0.7837613734966898,-0.5890366578490919,-0.5005507395194405,-0.4614029249783693,0.19347214183741923,-0.7998198564110962,0.7930160940170662,0.8946988726937145,0.8836279895634511,0.770966801511189,0.12638869771049327,-0.15009970335989273,-0.1487062683092604,-0.14971283831428386,-0.31489587030096106,-0.27824168498970275,0.4116248611950898,-0.04638861995897834,-0.3451249214276926
PrincipalStatusOther,0.38543005555209675,0.29253974514028097,0.24226995833280637,0.15929573317839602,0.21570180380222523,0.4973569031178656,-0.4973569031178654,-0.14852049106499746,0.1273588216292938,0.16846963694121098,0.17941572087696603,0.20538929164868588,-0.27642059515054396,-0.0053444855011193695,-0.023696832640127636,1.0,-0.021507335290392747,-0.13204564919358563,-0.34745500244295496,-0.16878136689531617,-0.005022182798831585,0.11109488204251787,0.3281812523782295,-0.0018438126187591704,-0.02901413005709972,-0.1893878984516551,-0.226165469530751,-0.23201063564191993,-0.19646217872085775,-0.1192034297480139,0.09821795576354121,0.37617208226051657,0.20538929164868588,0.33996702018790037,0.06100040406562293,0.008192815328083363,-0.09404784553797792,-0.2298009813520724,-0.13481518680314425,-0.23423987331395504,-0.1536964561914234,-0.03481346584004019,0.052847969933540906,0.11558195967620505,0.1300443212012436,0.4347355736136099,-0.28940028509004495,0.09386689410081517,0.08955918328787695,0.06654025124948482,0.04091037373336171,0.4867196651713175,-0.3173948373175859,-0.3667622285810477,-0.3418732912677297,-0.15808680271258416,-0.1934137209642414,0.2410496254204535,0.1379407417922933,-0.12910555401627863
SocialClassProfessionalWorkers,-0.05090019018431087,-0.22951798689331732,-0.36133598666692884,-0.13160968434950207,-0.16462564844640104,-0.33895547636781365,0.33895547636781337,-0.026246025100697765,0.46197566397418716,-0.5887700084121205,-0.8027778638542902,0.3998969020427775,-0.01791350455251234,0.3256668379114611,-0.6844837080793575,-0.021507335290392747,1.0,0.765710314282177,-0.42236711109652625,-0.8530051489831374,-0.918345568825106,-0.7741011797343641,-0.3771202136759942,-0.6523260071297861,-0.7506036747628888,-0.6941903858201098,-0.5211676222732134,-0.1100493447614755,-0.17781857424760475,0.5581125148789641,0.8797138751974063,-0.13963685696103026,0.3998969020427775,-0.3286567256694833,-0.689755169809402,-0.6848148563514035,-0.7753952660425454,-0.19827911003159102,-0.7196775178714602,-0.4727413485559663,0.39254029637502513,0.8395780684862155,0.9396225196246261,0.8967859234993152,0.8806322944363904,-0.17117260948537058,0.6219508329321336,-0.7973676364428758,-0.5533681165026854,-0.5473450360956279,-0.3240760914269371,-0.08961417888486399,-0.260389783249111,-0.27107085252834456,-0.26605240529335883,0.22534057116272208,-0.18727637151183987,-0.10308689421108537,0.3063141809838677,0.276276734160111
SocialClassManagerialAndTechnical,-0.406065491660497,-0.47268848550389386,-0.5997585741286162,-0.39479702579850134,-0.4498084264158845,-0.4073198988783869,0.407319898878386,0.04879994751050921,0.16667415638670022,-0.7923311591375948,-0.9103493248079249,-0.023828706646010184,0.44223286471222045,0.36541091503722517,-0.7899315422070279,-0.13204564919358563,0.765710314282177,1.0,0.09587998614213245,-0.5308846815965246,-0.8756743926037949,-0.9188534098182601,-0.7954492816402896,-0.7413200280543527,-0.6957605108215087,-0.42728079648009415,-0.019603009670909614,0.45157477011884184,0.3412446469084546,0.7458863368398364,0.491581981366215,-0.028046919267225797,-0.023828706646010184,-0.6305593102617799,-0.814437345921097,-0.7266323341439496,-0.5226955893580134,0.40210831889413856,-0.25793899114482055,0.10307952500447819,0.7773065855929681,0.8287545002715232,0.6321611600282945,0.5038723386517371,0.4520696748838569,-0.5188995837106756,0.8704588648844749,-0.8606177998295594,-0.664398733610361,-0.716130574847416,-0.57035301458475,-0.4601253338275857,0.21484311812728474,0.1966319918071928,0.2064477846718361,0.41739797713906135,0.154077941675889,-0.4907247149645941,0.21488080468043683,0.49368485710777865
SocialClassNonManual,-0.6644231550985251,-0.4923791948700026,-0.34275187352326075,-0.4424259389472003,-0.489016710666179,-0.3435914509558375,0.34359145095583726,0.32363390685989235,-0.504841405840698,-0.33642711534708214,-0.06432396349450208,-0.7856735102516899,0.6388124869500813,0.04937969052132301,0.010484446237007223,-0.34745500244295496,-0.42236711109652625,0.09587998614213245,1.0,0.7201968380349295,0.2852672833322269,-0.07050260570316494,-0.6096245786884782,0.09336907795350646,0.3305189880033054,0.655730806209675,0.8553553249872989,0.7890141233093908,0.6149794582650193,0.01961957546333607,-0.6951671433906303,-0.05455648793081019,-0.7856735102516899,-0.49900960680121526,0.020281052990014082,0.1619500500709156,0.6355477473141733,0.8124467788265943,0.7610348231142842,0.8296997913518861,0.20840321249929666,-0.332122059162263,-0.5710363560774643,-0.6812621355196595,-0.7085333886227542,-0.6259048901771033,0.32388695681009966,-0.0008390452988878043,-0.01656568416855206,-0.12871657512064832,-0.2827033646067976,-0.6861040089602755,0.7994401346267769,0.7934374125168908,0.7980657307333097,0.3074213609870419,0.5859932706082763,-0.6815721799133575,-0.21885232333284044,0.25853713821842883
