,Garda Station,Theft,Assault & Kidnapping,Fraud & Drugs & Weapons,Environment & Public Order,TotalCrime,PopulationTotalMale,PopulationTotalFemale,PopulationTotal,PrincipalStatusAtWork,PrincipalStatusLookingForFirstJob,PrincipalStatusUnemployed,PrincipalStatusStudent,PrincipalStatusLookingAfterHome/Family,PrincipalStatusRetired,PrincipalStatusUnableToWork,PrincipalStatusOther,SocialClassProfessionalWorkers,SocialClassManagerialAndTechnical,SocialClassNonManual,SocialClassSkilledManual,SocialClassSemiSkilled,SocialClassUnskilled,SocialClassOther,AgeEducationCeasedUnder15,AgeEducationCeasedAge15,AgeEducationCeasedAge16,AgeEducationCeasedAge17,AgeEducationCeasedAge18,AgeEducationCeasedAge19,AgeEducationCeasedAge20,AgeEducationCeasedAge21+,AgeEducationCeasedNotStated,EducationNotCeasedStillAtSchool,EducationNotCeasedOther,HighestLevelEducationNoFormalEducation,HighestLevelEducationPrimary,HighestLevelEducationLowerSecondary,HighestLevelEducationUpperSecondary,HighestLevelEducationTechnicalQualification,HighestLevelEducationAdvCert/Apprenticeship,HighestLevelEducationHigherCertificate,HighestLevelEducationOrdinaryBachelorDegree,HighestLevelEducationHonoursBachelorDegree,HighestLevelEducationPostgraduateDegree,HighestLevelEducationDoctorate,HighestLevelEducationNotStated,GeneralHealthVeryGood,GeneralHealthGood,GeneralHealthFair,GeneralHealthBad,GeneralHealthVeryBad,GeneralHealthNotStated,Total_Under18Male,Total_Under18Female,Total_Under18,Green,Area,PopulationDensity,GreensPerKMSQ,GreensPerPerson,TotalCrimePerCap
0,Balbriggan,0.00802761833458115,0.006987771400049914,0.007445304051243656,0.019549122369187256,0.042009816155061976,0.4885616837201564,0.5114383162798436,24042,0.382289327011064,0.011105565260793612,0.0929623159470926,0.06829714666001165,0.06929539971716163,0.05066134265036187,0.02973962232759338,0.002038099991681225,0.049787871225355634,0.24432243573745946,0.1970301971549788,0.16304799933449796,0.11022377506031113,0.03618667332168705,0.19940104816571,0.03514682638715581,0.02632892438233092,0.04924715081939938,0.053406538557524336,0.0754928874469678,0.028824557025205887,0.02329257133349971,0.10739539139838616,0.1731553115381416,0.06829714666001165,0.06580151401713667,0.008152399966724897,0.05997837118376175,0.09387738124948007,0.13114549538307962,0.06359703851593046,0.040512436569336986,0.029448465185924637,0.04359038349554945,0.04259213043839947,0.03265119374428084,0.0027867897845437147,0.0239580733715997,0.6244072872473172,0.2716912070543216,0.06813077115048664,0.011687879544131105,0.0027451959071624656,0.021337659096580985,0.17194908909408535,0.16188337076782294,0.33383245986190835,9,60.00002302,400.69984626482557,0.14999994245002207,0.0003743448964312453,0.02246069378587472
1,Ballyfermot,0.009862576598136262,0.006272888792196962,0.01265455600275572,0.02973276768555785,0.0585227890786468,0.4803292360129084,0.5196707639870917,27579,0.34906994452300666,0.012291961274883065,0.1172631349940172,0.06969070669712463,0.07520214656078901,0.11360092824250335,0.06682620834693064,0.0019217520577250809,0.03241596867181551,0.1707095978824468,0.17473439936183327,0.1856847601435875,0.14637949164219152,0.06298270423148047,0.2270930780666449,0.1380398129011204,0.06421552630624751,0.0815475542985605,0.05986438957177561,0.07012582037057181,0.02092171579825229,0.01580913013524784,0.08597120997860691,0.15446535407375175,0.06969070669712463,0.0452155625657203,0.018709887958229088,0.18934696689510133,0.14478407483955186,0.11588527502810107,0.05464302549040937,0.027194604590449256,0.018746147431016352,0.027702237209470973,0.032379709199028245,0.02857246455636535,0.002791979404619457,0.030204140831792306,0.5438195728634105,0.2977990500018129,0.11320207404184345,0.019797672141847057,0.004822509880706334,0.02055912107037964,0.1242249537691722,0.11914862757895499,0.2433735813481272,4,8.568579001,3218.620029853419,0.4668218615400731,0.0001450378911490627,0.028790021393088946
2,Ballymun,0.008719723183391004,0.010011534025374856,0.011995386389850057,0.03469434832756632,0.06542099192618224,0.4801845444059977,0.5198154555940023,21675,0.3169550173010381,0.012410611303344869,0.1281660899653979,0.10643598615916956,0.0758477508650519,0.10657439446366783,0.04465974625144176,0.001845444059976932,0.030772779700115337,0.16405997693194924,0.1734717416378316,0.1419607843137255,0.12871972318339098,0.05301038062283737,0.30800461361015,0.08567474048442908,0.04581314878892734,0.06666666666666668,0.059423298731257214,0.07529411764705883,0.0209919261822376,0.014901960784313726,0.07575547866205305,0.17711649365628604,0.10643598615916956,0.06482122260668974,0.012272202998846595,0.13342560553633218,0.13241061130334486,0.12738177623990773,0.049919261822376014,0.023529411764705882,0.016239907727796998,0.023575547866205304,0.03155709342560554,0.02459054209919262,0.003367935409457901,0.0433679354094579,0.5473125720876586,0.2958246828143022,0.09919261822376008,0.019653979238754324,0.0034602076124567475,0.03455594002306805,0.13808535178777392,0.1334717416378316,0.2715570934256055,4,7.0251581760000015,3085.3397826753785,0.5693821974948795,0.0001845444059976932,0.03072664359861592
3,BlackrockCoDublin,0.007598974294827694,0.0033147789105009693,0.004878353868284445,0.011070110701107009,0.02686221777472012,0.4691663018325098,0.5308336981674902,31978,0.4323910188254425,0.004534367377572081,0.03602476702733129,0.13609356432547376,0.07389455250484707,0.12793170304584406,0.01638626555757083,0.001782475451873163,0.20773656889111264,0.4400838076177372,0.13384201638626556,0.04721996372506098,0.031771843142160236,0.008005503783851398,0.13134029645381198,0.013978360122584277,0.00981925073488023,0.024610669835511915,0.033616861592344734,0.07176809056226155,0.022452936393770717,0.02889486521983864,0.31177684658202515,0.1399712302207768,0.13609356432547376,0.036056038526486964,0.003533679404590656,0.025392457314403653,0.03830758646569517,0.10932516104822064,0.030552254675089124,0.020170116955406842,0.029332666208018013,0.07630245793983363,0.13887672775032836,0.14478704109074989,0.02304709487772844,0.017261867533929578,0.6785915316780287,0.23563074613796986,0.05888423291012571,0.008881105760210145,0.002032647445118519,0.015979736068547128,0.11142035149165053,0.10848083057101758,0.2199011820626681,3,8.965901635,3566.62400523871,0.3346010387052389,9.381449746700855e-05,0.01579210707361311
4,Blanchardstown,0.00805481351577316,0.005536409796284589,0.00590346458940843,0.021248394135280086,0.040743082036746266,0.4913640163951141,0.5086359836048859,98078,0.43206427537266257,0.010267338240991864,0.08753237219356022,0.07877403699096637,0.061359326250535286,0.047166540916413466,0.022573869777116173,0.0015599828707763212,0.08518729990415791,0.2947857827443464,0.1817532983951549,0.13821652154407715,0.08879667203654235,0.02920124798629662,0.18205917738942476,0.02573461938457146,0.021778584392014518,0.038265462183160334,0.048532800424152214,0.06912865270498991,0.02590795081465772,0.02521462509431269,0.155427312954995,0.17611492893411365,0.07877403699096637,0.0764187687350884,0.006188951650726972,0.0447806847611085,0.07586818654540264,0.12118925752972125,0.05350843206427537,0.03197455086767675,0.031097697750769794,0.05405901425396113,0.07011766145312914,0.060319337670017736,0.005250922734966047,0.03175023960521218,0.6417851098105589,0.2644629784457269,0.055037827035624716,0.009217153693998654,0.0019882134627541345,0.02750871755133669,0.15553946858622728,0.14786190583005362,0.3034013744162809,15,45.28753045,2165.6733989565555,0.33121700059491765,0.00015293949713493342,0.01949468790146618
5,BridewellDublin,0.01213360006958337,0.007567191441245544,0.013003392189266764,0.20053057319300688,0.2332347568931025,0.5167869879098895,0.4832130120901105,22994,0.4696877446290337,0.014786466034617729,0.1205966773941028,0.12042271897016613,0.04196746977472384,0.0748456118987562,0.04322866834826476,0.0025658867530660174,0.0735409237192311,0.21309906932243194,0.1539966947899452,0.11107245368356963,0.11402974689049315,0.06036357310602766,0.2738975384883013,0.0660607114899539,0.03118204749064973,0.04205444898669218,0.037748977994259365,0.06149430286161608,0.026746107680264416,0.022875532747673302,0.2318865791075933,0.16138992780725406,0.12042271897016613,0.08623988866660869,0.010959380708010785,0.09837348873619203,0.07867269722536313,0.10963729668609204,0.04840393146038097,0.02391928329129338,0.025571888318691838,0.05423153866225972,0.0901104635991998,0.0912411933547882,0.009002348438723145,0.0413151256849613,0.5305731930068713,0.31286422545011744,0.09606853961903106,0.019048447421066362,0.003957554144559451,0.03748804035835435,0.07114899539010176,0.06723493085152649,0.13838392624162826,0,3.005020767,7651.860596942091,0.0,0.0,0.032704183700095674
6,Cabinteely,0.007022043109238567,0.0025340416437687,0.0022592660438419732,0.009464492886365023,0.021279843683214263,0.4823838309824754,0.5176161690175246,32754,0.4038285400256457,0.00467118519875435,0.04796360749832082,0.11326860841423947,0.08698174268791597,0.12929718507663185,0.018806863283873727,0.0015265311107040362,0.14132625022897966,0.4066984185137693,0.17347499542040667,0.09003480490932406,0.050589241008731765,0.017371924039811932,0.12050436587897663,0.026408988215179827,0.019600659461439823,0.03843805336752763,0.04652866825425902,0.08243267997801795,0.026439518837393903,0.025157232704402517,0.20330341332356355,0.1882823471942358,0.11326860841423947,0.03648409354582646,0.004732246443182511,0.04933748549795445,0.06988459424803077,0.1420589851621176,0.04439152469927337,0.02564572265982781,0.03327837821334799,0.06481651096049337,0.09904133846247787,0.08905782499847346,0.010258289063931123,0.02408866092690969,0.6580570312022959,0.2476949380228369,0.061824509983513465,0.00925077853086646,0.0022592660438419732,0.020913476216645296,0.12691579654393356,0.12160346827868353,0.2485192648226171,35,18.41140732,1779.005777815794,1.9009953661706287,0.0010685717774928253,0.01181535079684924
7,Cabra,0.00787149329550135,0.0059493844675300896,0.007185025856940186,0.027367168550638414,0.048373072170610036,0.4732964166399707,0.5267035833600293,21851,0.4284929751498787,0.008420667246350282,0.08040821930346438,0.08091162875840922,0.06750263145851447,0.12223696855979133,0.039082879502082286,0.0019221088279712602,0.07336048693423641,0.272985218067823,0.18035787835796988,0.15482128964349454,0.10113953594801152,0.048464601162418186,0.1688709898860464,0.08603725229966593,0.03743535764953549,0.06018031211386207,0.05587844949887877,0.07427577685231798,0.022378838497093958,0.021372019587204246,0.1599011486888472,0.18044940734977805,0.08091162875840922,0.05015788751086907,0.011532652967827559,0.12740835659695207,0.09985813006269736,0.1224657910393117,0.04805272069928149,0.02869433893185666,0.026406114136652784,0.04544414443274907,0.07043155919637545,0.06763992494622671,0.005812090979817858,0.0441627385474349,0.5809345110063613,0.2757310878220676,0.08768477415221271,0.016978627980412796,0.0032035147132854326,0.03546748432566015,0.10827879730904763,0.10667703995240492,0.21495583726145254,3,11.3599619,1923.5099723353824,0.2640853927511852,0.00013729348771223282,0.021005903619971626
8,Clontarf,0.011143033590204871,0.0026582176516392344,0.003034127218537712,0.012592970491098998,0.02942834895148081,0.4765727787772199,0.5234272212227801,37243,0.44961469269392906,0.006551566737373465,0.04953951078054936,0.1016029857959885,0.06457589345648848,0.14394651343876702,0.023494347931154846,0.0018795478344923878,0.12442606664339607,0.3805278844346589,0.1848401041806514,0.10412695003087828,0.06425368525628977,0.01930564132857181,0.1225196681255538,0.03879923744059286,0.02462207663185028,0.04800902182960557,0.052788443465886216,0.09003034127218537,0.02440727116505115,0.024246167064951803,0.20868351099535484,0.18771312729908976,0.1016029857959885,0.040302875708186775,0.00426925865263271,0.06967752329296781,0.08519721826920497,0.13871063018553825,0.046585935612061334,0.029508901001530488,0.03187176113632092,0.06132696077115162,0.0994549311279972,0.09617914775931047,0.010203259672958678,0.02631366968289343,0.6218081250167817,0.26727170206481754,0.07794753376473433,0.011250436323604436,0.0022554574013908648,0.019466745428671158,0.10603334854872057,0.09929382702789788,0.2053271755766184,21,18.08325441,2059.529725988078,1.161295390966078,0.0005638643503477162,0.016835378460381818
9,Coolock,0.007718384310420777,0.005343496830291307,0.011644609579989655,0.01821385478712198,0.04292034550782372,0.4834811253902285,0.5165188746097715,52213,0.38555532147166416,0.008005669086242891,0.09792580391856434,0.07568996226993277,0.07544098213088694,0.10637197632773447,0.04027732557026028,0.0014364238791105665,0.035240265834179225,0.19832225690919889,0.20899009825139334,0.19602397870262195,0.12360906287706125,0.04608047804186697,0.1917338593836784,0.08754524735219198,0.05146227950893456,0.07455997548503246,0.05983184264455212,0.0796353398578898,0.02281041120027579,0.016183709037979048,0.08356156512745867,0.19433857468446555,0.07568996226993277,0.045084557485683636,0.009173960507919484,0.13391301016988105,0.14820063968743416,0.13320437438951985,0.058663551222875525,0.034933828739968975,0.0212207687740601,0.030911841878459387,0.037883285771742665,0.025798172868825773,0.001647099381380116,0.034378411506712885,0.572194664164097,0.2941604581234559,0.08946047919100608,0.015226093118572002,0.0032367418075958092,0.02572156359527321,0.13303200352402658,0.12720969873403176,0.2602417022580583,2,17.67688933,2953.7436720491137,0.11314207848808205,3.830463677628177e-05,0.02470649072070174
10,Donnybrook,0.010418844518781795,0.0035542546518921173,0.002683113805840128,0.015924454665830368,0.032580667642344414,0.470659976304969,0.5293400236950311,28698,0.4698585267266012,0.004495086765628267,0.03968917694612865,0.17562199456408112,0.04819151160359607,0.12373684577322462,0.01944386368388041,0.0027528050735242874,0.20886472924942506,0.3402327688340651,0.1189978395707018,0.04529932399470346,0.0351592445466583,0.010349153251097636,0.24109694055334865,0.01853787720398634,0.010279461983413478,0.0206634608683532,0.025541849606244338,0.049132343717332216,0.018015192696355143,0.02251027946198341,0.32800195135549515,0.1700466931493484,0.17562199456408112,0.04543870653007178,0.004669314934838665,0.0320928287685553,0.03292912398076521,0.080563105442888,0.025472158338560175,0.01578507213046205,0.02515854763398146,0.06732176458289776,0.15182242664994075,0.1590703184890933,0.023311729040351243,0.044532720050177714,0.6382674750853718,0.23642762561851002,0.06456895950937347,0.01191720677399122,0.0042860129625757895,0.044532720050177714,0.07965711896299392,0.07516203219736567,0.1548191511603596,5,8.219549164,3491.432367810581,0.6083058693655622,0.00017422816921039793,0.01665621297651404
11,Dun Laoghaire,0.010049449672994098,0.004519593768277768,0.0053171691391503155,0.032301802520338166,0.05218801510076036,0.469931408518105,0.530068591481895,37614,0.4026692189078535,0.0046791088424522785,0.05420853937363748,0.10325942468229916,0.07874727495081618,0.16448662731961505,0.02639974477588132,0.0014356356675705856,0.1434306375285798,0.3959164141011325,0.15698941883341308,0.08228319242835115,0.06011059711809433,0.02182697931621205,0.13944276067421704,0.03703408305418195,0.022465039612910086,0.04088903068006594,0.045621311213909714,0.08042218322964853,0.024405806348699956,0.024645078959961715,0.2462646886797469,0.17645025788270324,0.10325942468229916,0.0344286701759983,0.0058754718987611,0.06388578720689105,0.07082469293348223,0.12899452331578667,0.04538203860264795,0.024964109108310737,0.0310788536183336,0.06909661296325836,0.10405700005317167,0.11094273408837137,0.01464880097835912,0.028446854894454195,0.6154357420109534,0.2677992236933057,0.07810921465411813,0.013346094539267292,0.003296644866273196,0.02201308023608231,0.10650289785718084,0.10570532248630828,0.21220822034348916,22,11.2395141,3346.585952501274,1.9573799902969116,0.0005848886053065348,0.019886212580422183
12,Finglas,0.009477402850529906,0.008137410159580949,0.012035570715068828,0.027019125350225364,0.056669509075405036,0.4807406505055427,0.5192593494944573,41045,0.3835302716530637,0.009599220367888902,0.10537215251553174,0.06865635278353027,0.07326105493970032,0.10261907662321842,0.03985869167986356,0.004214886100621268,0.033036910707759784,0.19934218540626145,0.1830430015836277,0.17568522353514435,0.12856620782068462,0.053039347058106964,0.22728712388841515,0.08610062126933853,0.045145571933244,0.06307711048848824,0.05532951638445609,0.07136070166889999,0.02458277500304544,0.017858448044828848,0.08666098184918991,0.2095748568644171,0.06865635278353027,0.05876477037397977,0.011767572176879034,0.1414545011572664,0.13000365452552076,0.1222560604214886,0.05886222438786697,0.031550736995980024,0.019710074308685592,0.03011329029114387,0.03985869167986356,0.028286027530758925,0.0019247167742721407,0.043903033256182236,0.5565842368132538,0.29306858326227314,0.09772201242538676,0.017322450968449258,0.003776343038128883,0.031526373492508225,0.1355341698136192,0.1257156779144841,0.2612498477281033,10,38.18989241,1074.7608178454147,0.2618493891693056,0.00024363503471799242,0.029650383725179683
13,Fitzgibbon Street,0.02002276490066225,0.010399420529801324,0.008743791390728476,0.0408216059602649,0.07998758278145696,0.5084850993377483,0.4915149006622517,19328,0.42684188741721857,0.02224751655629139,0.13131208609271522,0.13100165562913907,0.04459850993377484,0.07145074503311258,0.041649420529801334,0.002690397350993377,0.05080711920529801,0.16783940397350994,0.1232408940397351,0.1169805463576159,0.11149627483443708,0.0677773178807947,0.3618584437086093,0.06694950331125828,0.031456953642384114,0.036165149006622516,0.03037044701986755,0.05360099337748345,0.02173013245033113,0.01960885761589404,0.15511175496688742,0.2240273178807947,0.13100165562913907,0.1017694536423841,0.012003311258278145,0.10394246688741722,0.08169495033112582,0.0972682119205298,0.04558153973509934,0.022816639072847682,0.025662251655629142,0.04444329470198676,0.0615169701986755,0.0597578642384106,0.005949917218543046,0.07838369205298014,0.4989134933774834,0.3093439569536424,0.09468129139072848,0.020591887417218544,0.005018625827814569,0.07145074503311258,0.07817673841059603,0.08138451986754967,0.15956125827814568,1,1.874714835,10309.834668801775,0.533414459271615,5.173841059602649e-05,0.03916597682119205
